assignment_id,user_id,experiment_id,variant,assignment_date
1,1,1,treatment,2024-02-10
2,1,3,control,2024-02-10
3,1,2,treatment,2024-02-10
4,2,4,treatment,2024-01-08
5,2,1,treatment,2024-01-08
6,2,3,control,2024-01-08
7,3,3,control,2024-01-02
8,3,5,control,2024-01-02
9,3,2,control,2024-01-02
10,3,4,control,2024-01-02
11,4,4,control,2024-02-17
12,4,5,treatment,2024-02-17
13,4,2,control,2024-02-17
14,4,1,treatment,2024-02-17
15,5,4,treatment,2024-01-18
16,5,2,treatment,2024-01-18
17,5,5,treatment,2024-01-18
18,5,1,treatment,2024-01-18
19,6,4,control,2024-01-16
20,6,5,control,2024-01-16
21,6,1,control,2024-01-16
22,6,3,control,2024-01-16
23,7,1,treatment,2024-01-15
24,7,3,control,2024-01-15
25,7,5,control,2024-01-15
26,8,1,treatment,2024-01-09
27,8,4,treatment,2024-01-09
28,8,5,control,2024-01-09
29,9,3,control,2024-02-17
30,9,1,treatment,2024-02-17
31,9,5,treatment,2024-02-17
32,9,4,treatment,2024-02-17
33,10,3,control,2024-01-07
34,10,2,control,2024-01-07
35,10,1,control,2024-01-07
36,11,2,control,2024-02-13
37,11,3,control,2024-02-13
38,11,1,treatment,2024-02-13
39,11,5,treatment,2024-02-13
40,12,4,treatment,2024-02-17
41,12,2,control,2024-02-17
42,12,3,control,2024-02-17
43,12,1,control,2024-02-17
44,13,1,control,2024-02-27
45,13,5,treatment,2024-02-27
46,13,3,treatment,2024-02-27
47,14,5,treatment,2024-02-04
48,14,4,treatment,2024-02-04
49,14,2,treatment,2024-02-04
50,15,2,treatment,2024-01-06
51,15,3,treatment,2024-01-06
52,15,5,treatment,2024-01-06
53,16,2,control,2024-02-07
54,16,5,control,2024-02-07
55,16,1,treatment,2024-02-07
56,17,1,control,2024-01-28
57,17,4,control,2024-01-28
58,17,3,control,2024-01-28
59,17,2,treatment,2024-01-28
60,18,3,treatment,2024-01-03
61,18,1,control,2024-01-03
62,18,4,control,2024-01-03
63,19,5,treatment,2024-01-02
64,19,4,treatment,2024-01-02
65,19,1,control,2024-01-02
66,20,5,treatment,2024-01-06
67,20,2,treatment,2024-01-06
68,20,1,control,2024-01-06
69,21,2,control,2024-01-14
70,21,3,control,2024-01-14
71,21,5,treatment,2024-01-14
72,21,4,control,2024-01-14
73,22,3,control,2024-01-15
74,22,5,control,2024-01-15
75,22,2,treatment,2024-01-15
76,23,1,control,2024-02-02
77,23,3,treatment,2024-02-02
78,23,4,control,2024-02-02
79,24,4,treatment,2024-02-08
80,24,3,treatment,2024-02-08
81,24,2,control,2024-02-08
82,24,1,control,2024-02-08
83,25,4,control,2024-01-02
84,25,3,treatment,2024-01-02
85,25,2,treatment,2024-01-02
86,26,5,treatment,2024-02-05
87,26,2,control,2024-02-05
88,26,4,control,2024-02-05
