,experiment_name,control_rate,control_size,treatment_rate,treatment_size,lift_percent,z_score,p_value,is_significant,lower_ci,upper_ci,decision,summary,recommendation,power,required_users,total_required,multiplier,mde_relative_lift_pct,mde_pp,actual_lift_pct
0,checkout_button_color,0.1434,6988,0.1672,7010,16.6,3.8873426145398486,0.00010134765754597458,True,0.011808,0.035794,GREENLIGHT,"Statistically significant improvement (+2.38 pp, 95% CI [1.18, 3.58] pp).",Roll out the change (or ramp up rollout). Monitor key metrics after launch.,0.9731899056388068,3625.0,7261.0,0.5,11.8497335507578,1.6992517911786686,16.6
1,pricing_display_test,0.142,6985,0.1427,6971,0.5,0.12095878273535356,0.9037236820280352,False,-0.010879,0.012311,KEEP RUNNING,"Inconclusive result (0.07 pp, 95% CI [-1.09, 1.23] pp, p=0.904).",Run longer or increase sample size. Consider whether the detectable effect is too large (MDE).,0.05160564606162321,3915105.0,7822363.0,560.5,11.93843960573817,1.69525842401482,0.5
2,email_subject_line,0.1453,6999,0.1458,6929,0.31,0.07658906747667624,0.9389504562965832,False,-0.011256,0.012171,KEEP RUNNING,"Inconclusive result (0.05 pp, 95% CI [-1.13, 1.22] pp, p=0.939).",Run longer or increase sample size. Consider whether the detectable effect is too large (MDE).,0.05080217255434462,7848440.0,15618384.0,1121.4,11.786475058904502,1.712574826058824,0.31
3,product_page_layout,0.145,6891,0.1345,7204,-7.22,-1.7915605336552616,0.07320338982917947,False,-0.021917,0.00099,KEEP RUNNING,"Inconclusive result (-1.05 pp, 95% CI [-2.19, 0.10] pp, p=0.0732).",Run longer or increase sample size. Consider whether the detectable effect is too large (MDE).,0.43555275180352737,16740.0,34240.0,2.4,11.73178850358392,1.701109333019668,-7.22
4,free_shipping_threshold,0.1402,6962,0.1536,7076,9.58,2.2467046714658685,0.02465890751085897,True,0.001719,0.025137,GREENLIGHT,"Statistically significant improvement (+1.34 pp, 95% CI [0.17, 2.51] pp).",Roll out the change (or ramp up rollout). Monitor key metrics after launch.,0.611391754857004,10862.0,21902.0,1.6,11.994533806074667,1.6816336396116682,9.58
5,search_result_sorting,0.7251,1353,0.7885,1447,8.75,3.917965740786382,8.92993938710207e-05,True,0.031712,0.095233,GREENLIGHT,"Statistically significant improvement (+6.35 pp, 95% CI [3.17, 9.52] pp).",Roll out the change (or ramp up rollout). Monitor key metrics after launch.,0.9747182796330284,693.0,1434.0,0.5,6.337315134371527,4.5951872039327935,8.75
6,checkout_form_fields,0.7325,1346,0.6609,1454,-9.77,-4.113132558500302,3.903261011555823e-05,True,-0.105536,-0.037675,STOP / REVERT,"Statistically significant degradation (-7.16 pp, 95% CI [-10.55, -3.77] pp).",Stop the experiment and revert. Investigate why performance dropped.,0.984785414170817,621.0,1292.0,0.5,6.213729901121949,4.551557152571828,-9.77
7,recommendation_algorithm,0.7052,1401,0.7355,1399,4.3,1.7870141068507603,0.0739352085776755,False,-0.002915,0.063544,KEEP RUNNING,"Inconclusive result (3.03 pp, 95% CI [-0.29, 6.35] pp, p=0.0739).",Run longer or increase sample size. Consider whether the detectable effect is too large (MDE).,0.4313163516628933,3445.0,6885.0,2.5,6.670612408545846,4.704115870506531,4.3
8,cart_discount_display,0.7122,1428,0.6297,1372,-11.58,-4.644556743351537,3.4080737212694025e-06,True,-0.11715,-0.047744,STOP / REVERT,"Statistically significant degradation (-8.24 pp, 95% CI [-11.72, -4.77] pp).",Stop the experiment and revert. Investigate why performance dropped.,0.9964587039251844,518.0,1016.0,0.4,6.553097295041227,4.667115893528361,-11.58
9,mobile_app_onboarding,0.7293,1422,0.6589,1378,-9.64,-4.039638300911848,5.3533693927722545e-05,True,-0.104386,-0.036271,STOP / REVERT,"Statistically significant degradation (-7.03 pp, 95% CI [-10.44, -3.63] pp).",Stop the experiment and revert. Investigate why performance dropped.,0.9815930591571926,681.0,1341.0,0.5,6.263852619326246,4.568227715274631,-9.64
