user_id,signup_date,user_segment,device_type,location,age_group
1,2024-02-10,new,desktop,United States,36-45
2,2024-01-08,VIP,mobile,United States,46-55
3,2024-01-02,returning,mobile,United States,26-35
4,2024-02-17,returning,desktop,United States,26-35
5,2024-01-18,new,mobile,United States,26-35
6,2024-01-16,new,desktop,United States,36-45
7,2024-01-15,new,tablet,United States,26-35
8,2024-01-09,VIP,mobile,Canada,26-35
9,2024-02-17,returning,desktop,Canada,18-25
10,2024-01-07,returning,mobile,United States,46-55
11,2024-02-13,new,mobile,Australia,36-45
12,2024-02-17,VIP,mobile,Canada,18-25
13,2024-02-27,returning,mobile,United Kingdom,26-35
14,2024-02-04,new,mobile,Australia,26-35
15,2024-01-06,new,mobile,United States,26-35
16,2024-02-07,new,desktop,United States,26-35
17,2024-01-28,new,desktop,United States,36-45
18,2024-01-03,returning,tablet,United States,18-25
19,2024-01-02,returning,desktop,United States,26-35
20,2024-01-06,new,mobile,Germany,26-35
21,2024-01-14,returning,mobile,United States,18-25
22,2024-01-15,new,mobile,Australia,26-35
23,2024-02-02,new,mobile,United Kingdom,18-25
24,2024-02-08,new,desktop,Canada,26-35
25,2024-01-02,returning,mobile,United States,26-35
26,2024-02-05,returning,mobile,Canada,56+
27,2024-01-13,new,mobile,United States,36-45
28,2024-02-15,returning,mobile,United States,26-35
29,2024-02-11,returning,mobile,Germany,26-35
30,2024-02-14,new,mobile,United States,26-35
31,2024-02-04,returning,desktop,Canada,18-25
32,2024-01-27,new,mobile,Germany,18-25
33,2024-01-15,new,desktop,United States,18-25
34,2024-01-29,VIP,mobile,Canada,26-35
35,2024-02-07,VIP,mobile,Canada,36-45
36,2024-01-18,returning,desktop,United States,26-35
37,2024-02-21,new,desktop,Germany,56+
38,2024-02-25,new,mobile,Australia,18-25
39,2024-01-01,returning,desktop,Canada,56+
40,2024-02-18,returning,mobile,Canada,26-35
41,2024-02-21,new,mobile,Canada,18-25
42,2024-01-11,returning,desktop,United Kingdom,46-55
43,2024-02-14,new,desktop,United Kingdom,26-35
44,2024-01-28,VIP,mobile,United States,26-35
45,2024-01-22,new,mobile,United States,18-25
46,2024-01-18,returning,desktop,Australia,26-35
47,2024-01-10,new,mobile,United States,56+
48,2024-01-14,returning,mobile,Canada,26-35
49,2024-02-18,returning,mobile,Germany,56+
50,2024-01-22,new,tablet,United States,26-35
51,2024-01-07,VIP,mobile,Canada,18-25
52,2024-01-06,returning,desktop,United States,18-25
53,2024-01-25,VIP,desktop,Australia,26-35
54,2024-01-07,VIP,mobile,United States,18-25
55,2024-01-23,returning,desktop,United States,36-45
56,2024-02-24,VIP,tablet,Canada,18-25
57,2024-01-23,new,mobile,United Kingdom,36-45
58,2024-02-08,new,mobile,United States,36-45
59,2024-01-17,new,tablet,United States,26-35
60,2024-02-21,new,desktop,United States,36-45
61,2024-01-03,new,mobile,United States,46-55
62,2024-02-16,new,desktop,United Kingdom,26-35
63,2024-01-30,returning,desktop,United States,26-35
64,2024-02-04,new,desktop,United Kingdom,26-35
65,2024-01-08,new,tablet,Germany,36-45
66,2024-02-29,returning,mobile,Australia,26-35
67,2024-01-25,new,mobile,Canada,26-35
68,2024-01-06,returning,desktop,United States,18-25
69,2024-02-05,new,mobile,United States,26-35
70,2024-01-19,VIP,desktop,Australia,18-25
71,2024-02-23,returning,mobile,Germany,26-35
72,2024-02-10,new,mobile,Canada,26-35
73,2024-02-09,new,mobile,Australia,26-35
74,2024-02-26,returning,desktop,Germany,18-25
75,2024-02-25,returning,desktop,Australia,26-35
76,2024-01-24,returning,mobile,United Kingdom,46-55
77,2024-02-06,returning,mobile,Germany,26-35
78,2024-01-13,new,mobile,Germany,18-25
79,2024-02-15,new,desktop,United States,26-35
80,2024-01-05,new,mobile,Australia,46-55
81,2024-01-03,VIP,desktop,United States,26-35
82,2024-02-12,returning,mobile,United States,18-25
83,2024-01-15,new,mobile,United Kingdom,36-45
84,2024-02-19,new,desktop,United Kingdom,18-25
85,2024-01-19,new,mobile,Germany,18-25
86,2024-01-06,new,mobile,United States,26-35
87,2024-02-24,returning,mobile,United States,18-25
88,2024-01-15,returning,mobile,United States,36-45
89,2024-02-25,VIP,mobile,Canada,26-35
90,2024-01-07,returning,mobile,United Kingdom,36-45
91,2024-01-25,new,desktop,United States,26-35
92,2024-01-18,returning,desktop,Canada,26-35
93,2024-01-30,returning,desktop,United States,26-35
94,2024-02-10,returning,mobile,United Kingdom,26-35
95,2024-02-23,returning,desktop,United States,18-25
96,2024-01-24,returning,desktop,United Kingdom,36-45
97,2024-01-11,returning,mobile,United States,56+
98,2024-01-24,returning,desktop,United States,26-35
